symbol,entry_time,exit_time,entry_price,exit_price,pnl,trade_type,exit_reason
HDFCLIFE,2024-08-27 09:25:00,2024-08-27 09:45:00,722.1,724.5,-2.3999999999999773,short,stop_loss
HDFCBANK,2024-08-27 09:50:00,2024-08-27 09:55:00,1635.6,1640.15,-4.550000000000182,short,stop_loss
CIPLA,2024-08-27 10:00:00,2024-08-27 11:50:00,1610.6,1605.45,-5.149999999999864,long,stop_loss
SBILIFE,2024-08-27 11:55:00,2024-08-27 13:55:00,1832.2,1847.0,14.799999999999955,long,take_profit
CIPLA,2024-08-27 14:00:00,2024-08-27 14:55:00,1604.9,1599.55,5.350000000000136,short,take_profit
JSWSTEEL,2024-08-27 15:00:00,2024-08-27 15:10:00,943.1,944.4,-1.2999999999999545,short,stop_loss
TATASTEEL,2024-08-27 15:15:00,2024-08-27 15:20:00,154.68,154.85,-0.1699999999999875,short,stop_loss
TATASTEEL,2024-08-27 15:25:00,2024-08-27 15:25:00,154.65,154.65,0.0,short,market_close
TATASTEEL,2024-08-28 09:15:00,2024-08-28 09:20:00,154.75,154.31,0.4399999999999977,short,take_profit
BAJFINANCE,2024-08-28 09:25:00,2024-08-28 10:10:00,6877.75,6860.3,-17.449999999999818,long,stop_loss
AXISBANK,2024-08-28 10:15:00,2024-08-28 15:25:00,1174.5,1169.95,4.5499999999999545,short,market_close
BPCL,2024-08-29 09:15:00,2024-08-29 09:20:00,347.0,349.3,-2.3000000000000114,short,stop_loss
BPCL,2024-08-29 09:25:00,2024-08-29 09:35:00,349.55,347.7,1.8500000000000227,short,take_profit
ULTRACEMCO,2024-08-29 09:40:00,2024-08-29 11:50:00,11136.7,11177.45,-40.75,short,stop_loss
DRREDDY,2024-08-29 11:55:00,2024-08-29 12:10:00,6910.7,6920.55,-9.850000000000364,short,stop_loss
EICHERMOT,2024-08-29 12:15:00,2024-08-29 12:30:00,4888.9,4913.35,-24.450000000000728,short,stop_loss
BPCL,2024-08-29 12:35:00,2024-08-29 13:00:00,352.95,352.0,-0.9499999999999886,long,stop_loss
POWERGRID,2024-08-29 13:05:00,2024-08-29 13:20:00,333.75,332.9,-0.8500000000000227,long,stop_loss
EICHERMOT,2024-08-29 13:25:00,2024-08-29 14:55:00,4901.85,4918.9,-17.049999999999272,short,stop_loss
TATAMOTORS,2024-08-29 15:00:00,2024-08-29 15:05:00,1086.55,1116.65,30.100000000000136,long,take_profit
TATAMOTORS,2024-08-29 15:10:00,2024-08-29 15:25:00,1121.0,1136.3,15.299999999999955,long,take_profit
TATAMOTORS,2024-08-30 09:15:00,2024-08-30 14:45:00,1112.9,1103.8,-9.100000000000136,long,stop_loss
SBIN,2024-08-30 14:50:00,2024-08-30 15:05:00,814.75,815.75,-1.0,short,stop_loss
SBIN,2024-08-30 15:10:00,2024-08-30 15:25:00,816.45,815.3,1.150000000000091,short,market_close
DRREDDY,2024-09-02 10:05:00,2024-09-02 12:10:00,6950.15,6904.4,45.75,short,take_profit
SUNPHARMA,2024-09-02 12:15:00,2024-09-02 12:55:00,1819.65,1812.3,7.350000000000136,short,take_profit
SUNPHARMA,2024-09-02 13:00:00,2024-09-02 13:10:00,1806.75,1812.25,-5.5,short,stop_loss
DIVISLAB,2024-09-02 13:15:00,2024-09-02 14:35:00,5064.15,5040.0,24.149999999999636,short,take_profit
ADANIENT,2024-09-02 14:40:00,2024-09-02 15:15:00,3048.8,3040.2,-8.600000000000364,long,stop_loss
INDUSINDBK,2024-09-02 15:20:00,2024-09-02 15:25:00,1450.2,1448.55,-1.650000000000091,long,market_close
SBILIFE,2024-09-03 09:15:00,2024-09-03 09:25:00,1887.45,1883.0,-4.4500000000000455,long,stop_loss
TECHM,2024-09-03 09:30:00,2024-09-03 09:55:00,1637.25,1642.5,-5.25,short,stop_loss
TITAN,2024-09-03 10:00:00,2024-09-03 10:30:00,3560.85,3571.4,-10.550000000000182,short,stop_loss
AXISBANK,2024-09-03 10:35:00,2024-09-03 11:15:00,1182.2,1178.15,4.0499999999999545,short,take_profit
SUNPHARMA,2024-09-03 11:20:00,2024-09-03 12:10:00,1830.8,1828.1,-2.7000000000000455,long,stop_loss
EICHERMOT,2024-09-03 12:15:00,2024-09-03 12:25:00,4919.4,4910.0,-9.399999999999636,long,stop_loss
M&M,2024-09-03 12:30:00,2024-09-03 12:45:00,2790.45,2783.75,-6.699999999999818,long,stop_loss
BPCL,2024-09-03 12:50:00,2024-09-03 13:45:00,358.15,357.35,-0.7999999999999545,long,stop_loss
RELIANCE,2024-09-03 13:50:00,2024-09-03 13:55:00,3031.3,3029.0,-2.300000000000182,long,stop_loss
APOLLOHOSP,2024-09-03 14:00:00,2024-09-03 15:05:00,6866.0,6850.05,15.949999999999818,short,take_profit
ICICIBANK,2024-09-03 15:10:00,2024-09-03 15:25:00,1247.55,1248.65,1.1000000000001364,long,market_close
ADANIPORTS,2024-09-04 09:15:00,2024-09-04 09:20:00,1478.3,1470.0,8.299999999999955,short,take_profit
ADANIPORTS,2024-09-04 09:25:00,2024-09-04 10:20:00,1470.9,1474.2,-3.2999999999999545,short,stop_loss
EICHERMOT,2024-09-04 10:25:00,2024-09-04 14:10:00,4861.85,4841.55,-20.300000000000182,long,stop_loss
HINDALCO,2024-09-04 14:15:00,2024-09-04 15:05:00,664.65,665.7,-1.0500000000000682,short,stop_loss
HINDUNILVR,2024-09-04 15:10:00,2024-09-04 15:25:00,2841.05,2841.2,0.1499999999996362,long,market_close
HINDUNILVR,2024-09-05 09:15:00,2024-09-05 09:20:00,2841.55,2831.5,-10.050000000000182,long,stop_loss
MARUTI,2024-09-05 09:25:00,2024-09-05 09:45:00,12325.0,12283.1,-41.899999999999636,long,stop_loss
TITAN,2024-09-05 09:50:00,2024-09-05 09:55:00,3659.0,3637.2,-21.800000000000182,long,stop_loss
DIVISLAB,2024-09-05 10:00:00,2024-09-05 14:30:00,5144.6,5124.4,-20.200000000000728,long,stop_loss
COALINDIA,2024-09-05 14:35:00,2024-09-05 15:15:00,500.75,497.95,2.8000000000000114,short,take_profit
RELIANCE,2024-09-05 15:20:00,2024-09-05 15:25:00,2989.9,2992.95,-3.049999999999727,short,market_close
INFY,2024-09-06 09:15:00,2024-09-06 09:20:00,1933.0,1926.2,-6.7999999999999545,long,stop_loss
RELIANCE,2024-09-06 09:25:00,2024-09-06 09:50:00,2974.0,2954.0,20.0,short,take_profit
RELIANCE,2024-09-06 09:55:00,2024-09-06 11:10:00,2950.95,2927.55,23.399999999999636,short,take_profit
RELIANCE,2024-09-06 11:15:00,2024-09-06 11:35:00,2927.65,2934.7,-7.049999999999727,short,stop_loss
ICICIBANK,2024-09-06 11:40:00,2024-09-06 13:25:00,1220.1,1215.05,5.0499999999999545,short,take_profit
HCLTECH,2024-09-06 13:30:00,2024-09-06 15:00:00,1746.0,1750.5,-4.5,short,stop_loss
HDFCLIFE,2024-09-06 15:05:00,2024-09-06 15:25:00,738.85,740.0,-1.1499999999999773,short,market_close
SBILIFE,2024-09-09 10:05:00,2024-09-09 10:10:00,1922.3,1911.25,-11.049999999999955,long,stop_loss
TITAN,2024-09-09 10:15:00,2024-09-09 10:35:00,3692.5,3673.5,-19.0,long,stop_loss
M&M,2024-09-09 10:40:00,2024-09-09 15:25:00,2700.3,2712.05,11.75,long,market_close
COALINDIA,2024-09-10 09:15:00,2024-09-10 09:25:00,485.5,488.1,2.6000000000000227,long,take_profit
COALINDIA,2024-09-10 09:30:00,2024-09-10 09:40:00,488.3,486.85,-1.4499999999999886,long,stop_loss
COALINDIA,2024-09-10 09:45:00,2024-09-10 09:50:00,486.6,484.45,-2.150000000000034,long,stop_loss
HDFCLIFE,2024-09-10 09:55:00,2024-09-10 11:10:00,718.0,710.4,7.600000000000023,short,take_profit
TCS,2024-09-10 11:15:00,2024-09-10 12:20:00,4491.9,4509.7,17.800000000000182,long,take_profit
ADANIENT,2024-09-10 12:25:00,2024-09-10 12:35:00,2977.1,2995.55,18.450000000000273,long,take_profit
