symbol,entry_time,exit_time,entry_price,exit_price,pnl,trade_type,exit_reason,,total amnt,tradable ammount,quantity bought,trade amount,absolute profit,exit amnt,charges
INFY,18-07-2024 13:05,18-07-2024 13:20,1747,1754.1,7.099999999999909,long,take_profit,,10512.65514,5000,14,4891.6,99.4,4991,26.969404
WIPRO,18-07-2024 13:25,18-07-2024 15:25,570.85,573.9,3.0499999999999545,long,market_close,,10585.08573,5000,43,4909.31,131.15,5040.46,27.087764
SBIN,19-07-2024 12:15,19-07-2024 13:50,893.45,897.7,4.25,long,take_profit,,10689.14797,5000,27,4824.63,114.75,4939.38,26.6112
BHARTIARTL,19-07-2024 13:55,22-07-2024 10:05,1465.7,1462.45,-3.25,long,stop_loss,,10777.28677,5000,17,4983.38,-55.25,4928.13,27.372125
NTPC,22-07-2024 10:10,22-07-2024 14:55,375,372.5,-2.5,long,stop_loss,,10694.66464,5000,66,4950,-165,4785,27.1161
LT,22-07-2024 15:00,22-07-2024 15:10,3657.7,3650.15,-7.55,long,stop_loss,,10502.54854,5000,6,4389.24,-45.3,4343.94,24.110922
INDUSINDBK,22-07-2024 15:15,22-07-2024 15:20,1425.25,1418.6,-6.65,long,stop_loss,,10433.13762,5000,17,4845.85,-113.05,4732.8,26.577562
BAJAJ-AUTO,23-07-2024 09:20,23-07-2024 11:05,9389.8,9439.9,50.100000000000364,long,take_profit,,10293.51006,5000,2,3755.92,100.2,3856.12,20.723692
ADANIPORTS,23-07-2024 11:10,23-07-2024 11:20,1498.4,1487.8,-10.6,long,stop_loss,,10372.98637,5000,16,4794.88,-169.6,4625.28,26.259904
TATACONSUM,23-07-2024 11:25,23-07-2024 11:45,1210.5,1219.84,9.339999999999918,long,take_profit,,10177.12646,5000,20,4842,186.8,5028.8,26.754288
TATACONSUM,23-07-2024 13:05,24-07-2024 10:25,1229.22,1209.86,-19.36,long,stop_loss,,10337.17217,5000,20,4916.88,-387.2,4529.68,26.787288
NTPC,24-07-2024 10:35,24-07-2024 11:15,392.25,390.25,-2,long,stop_loss,,9923.184886,5000,63,4942.35,-126,4816.35,27.099765
SBILIFE,24-07-2024 11:20,24-07-2024 13:05,1644,1610,-34,long,stop_loss,,9770.085121,5000,15,4932,-510,4422,26.7894
SUNPHARMA,24-07-2024 13:15,24-07-2024 15:10,1620.25,1617.95,-2.3,long,stop_loss,,9233.295721,5000,15,4860.75,-34.5,4826.25,26.711355
ICICIBANK,24-07-2024 15:15,24-07-2024 15:25,1224.1,1226.95,2.8500000000001364,long,market_close,,9172.084366,5000,20,4896.4,57,4953.4,26.96782
ICICIBANK,25-07-2024 09:15,25-07-2024 10:05,1226.6,1198.15,-28.45,long,stop_loss,,9202.116546,5000,20,4906.4,-569,4337.4,26.60966
HCLTECH,25-07-2024 10:10,25-07-2024 10:45,1591.85,1583.9,-7.95,long,stop_loss,,8606.506886,5000,15,4775.55,-119.25,4656.3,26.18682
ONGC,25-07-2024 10:50,25-07-2024 11:35,329.9,333,3.1000000000000227,long,take_profit,,8461.070066,5000,75,4948.5,232.5,5181,27.3702
COALINDIA,25-07-2024 11:40,25-07-2024 11:50,499.25,503.1,3.8500000000000227,long,take_profit,,8666.199866,5000,50,4992.5,192.5,5185,27.5858
COALINDIA,25-07-2024 11:55,25-07-2024 12:05,502.5,499.95,-2.55,long,stop_loss,,8831.114066,5000,49,4924.5,-124.95,4799.55,27.002283
SUNPHARMA,25-07-2024 12:10,25-07-2024 12:30,1630.15,1626.35,-3.8,long,stop_loss,,8679.161783,5000,15,4890.45,-57,4833.45,26.859855
SBILIFE,25-07-2024 12:35,25-07-2024 12:40,1677.2,1672.1,-5.1,long,stop_loss,,8595.301928,5000,14,4696.16,-71.4,4624.76,25.781756
TECHM,25-07-2024 12:45,25-07-2024 14:00,1540.95,1530.45,-10.5,long,stop_loss,,8498.120172,5000,16,4931.04,-168,4763.04,27.00984
AXISBANK,25-07-2024 14:05,25-07-2024 14:40,1165.05,1168.25,3.2000000000000455,long,take_profit,,8303.110332,5000,21,4893.21,67.2,4960.41,26.957007
AXISBANK,26-07-2024 09:15,26-07-2024 09:20,1176,1170,-6,long,stop_loss,,8343.353325,5000,21,4939.2,-126,4813.2,27.08244
UPL,26-07-2024 09:25,26-07-2024 09:35,534.2,537.8,3.599999999999909,long,take_profit,,8190.270885,5000,46,4914.64,165.6,5080.24,27.139816
BAJFINANCE,26-07-2024 09:40,26-07-2024 10:35,6736.75,6719,-17.75,long,stop_loss,,8328.731069,5000,3,4042.05,-53.25,3988.8,22.19613
DIVISLAB,26-07-2024 10:40,26-07-2024 12:25,4696.1,4741,44.899999999999636,long,take_profit,,8253.284939,5000,5,4696.1,224.5,4920.6,25.97672
ADANIPORTS,26-07-2024 12:30,26-07-2024 12:50,1532.9,1541.45,8.549999999999955,long,take_profit,,8451.808219,5000,16,4905.28,136.8,5042.08,27.069328
ADANIPORTS,26-07-2024 12:55,26-07-2024 14:00,1543.05,1536.4,-6.65,long,stop_loss,,8561.538891,5000,16,4937.76,-106.4,4831.36,27.087456
BRITANNIA,26-07-2024 14:05,26-07-2024 14:15,5877,5867.15,-9.85,long,stop_loss,,8428.051435,5000,4,4701.6,-39.4,4662.2,25.832796
HINDALCO,26-07-2024 14:20,26-07-2024 14:50,667.9,666.35,-1.55,long,stop_loss,,8362.818639,5000,37,4942.46,-57.35,4885.11,27.145679
BPCL,26-07-2024 14:55,26-07-2024 15:25,328.5,329,0.5,long,market_close,,8278.32296,5000,76,4993.2,38,5031.2,27.48768
M&M,29-07-2024 11:00,29-07-2024 11:55,2888.8,2905.2,16.399999999999636,long,take_profit,,8288.83528,5000,8,4622.08,131.2,4753.28,25.508032
SBIN,29-07-2024 12:00,29-07-2024 13:05,887.9,879.7,-8.2,long,stop_loss,,8394.527248,5000,28,4972.24,-229.6,4742.64,27.195784
HINDUNILVR,29-07-2024 13:10,29-07-2024 14:45,2713.3,2707,-6.3,long,stop_loss,,8137.731464,5000,9,4883.94,-56.7,4827.24,26.824248
MARUTI,30-07-2024 09:15,30-07-2024 10:05,12755,12731.8,-23.2,long,stop_loss,,8054.207216,5000,1,2551,-23.2,2527.8,14.015188
TITAN,30-07-2024 10:15,30-07-2024 10:25,3448.25,3437.6,-10.65,long,stop_loss,,8016.992028,5000,7,4827.55,-74.55,4753,26.502322
TATASTEEL,30-07-2024 10:35,30-07-2024 12:45,163.82,163.23,-0.59,long,stop_loss,,7915.939706,5000,152,4980.128,-89.68,4890.448,27.3315152
ULTRACEMCO,30-07-2024 12:50,30-07-2024 14:10,11739.5,11783,43.5,long,take_profit,,7798.928191,5000,2,4695.8,87,4782.8,25.88432
BAJAJFINSV,30-07-2024 14:15,31-07-2024 09:30,1665.2,1647,-18.2,long,stop_loss,,7860.043871,5000,15,4995.6,-273,4722.6,27.29562
LT,31-07-2024 09:35,31-07-2024 09:45,3803,3789.65,-13.35,long,stop_loss,,7559.748251,5000,6,4563.6,-80.1,4483.5,25.046934
HINDALCO,31-07-2024 09:50,31-07-2024 15:25,667.9,671,3.1000000000000227,long,market_close,,7454.601317,5000,37,4942.46,114.7,5057.16,27.259232
TATACONSUM,01-08-2024 09:15,01-08-2024 09:35,1188,1197.05,9.049999999999955,long,take_profit,,7542.042085,5000,21,4989.6,190.05,5179.65,27.568233
DIVISLAB,01-08-2024 09:40,01-08-2024 09:50,4946,4973,27,long,take_profit,,7704.523852,5000,5,4946,135,5081,27.2921
POWERGRID,01-08-2024 09:55,01-08-2024 11:15,356.4,361,4.600000000000023,long,take_profit,,7812.231752,5000,70,4989.6,322,5311.6,27.65532
BAJAJ-AUTO,01-08-2024 11:20,01-08-2024 15:20,9700.15,9732.4,32.25,long,take_profit,,8106.576432,5000,2,3880.06,64.5,3944.56,21.3829
ULTRACEMCO,02-08-2024 09:15,02-08-2024 10:35,11960,11791.95,-168.05,long,stop_loss,,8149.693532,5000,2,4784,-336.1,4447.9,26.090174
TATASTEEL,02-08-2024 10:40,02-08-2024 13:20,159.12,158.05,-1.07,long,stop_loss,,7787.503358,5000,157,4996.368,-167.99,4828.378,27.3691506
BAJAJFINSV,02-08-2024 13:30,02-08-2024 14:10,1627.45,1624.8,-2.65,long,stop_loss,,7592.144208,5000,15,4882.35,-39.75,4842.6,26.82669
NTPC,02-08-2024 14:20,05-08-2024 10:05,422.3,411.65,-10.65,long,stop_loss,,7525.567518,5000,59,4983.14,-628.35,4354.79,26.992559
TATACONSUM,05-08-2024 10:10,05-08-2024 13:15,1204.4,1195.75,-8.65,long,stop_loss,,6870.224959,5000,20,4817.6,-173,4644.6,26.38262
BAJAJ-AUTO,05-08-2024 13:20,05-08-2024 15:25,9462.4,9489.8,27.399999999999636,long,market_close,,6670.842339,5000,2,3784.96,54.8,3839.76,20.853448
M&M,06-08-2024 09:20,06-08-2024 09:30,2727,2713.55,-13.45,long,stop_loss,,6704.788891,5000,9,4908.6,-121.05,4787.55,26.917407
WIPRO,06-08-2024 09:35,06-08-2024 15:05,494.3,489.75,-4.55,long,stop_loss,,6556.821484,5000,50,4943,-227.5,4715.5,27.03635
ITC,07-08-2024 09:20,07-08-2024 09:25,492.5,491.1,-1.4,long,stop_loss,,6302.285134,5000,50,4925,-70,4855,27.0413
ITC,07-08-2024 09:30,07-08-2024 09:50,493.65,491.35,-2.3,long,stop_loss,,6205.243834,5000,50,4936.5,-115,4821.5,27.07485
ONGC,07-08-2024 09:55,07-08-2024 15:25,325.8,329.2,3.3999999999999773,long,market_close,,6063.168984,5000,76,4952.16,258.4,5210.56,27.407424
